feature_name,non_null_count,non_zero_count,total_rows,population_rate,non_zero_rate
g8,486,486,486,1.0,1.0
g23,486,486,486,1.0,1.0
g38,486,486,486,1.0,1.0
g53,486,486,486,1.0,1.0
g68,486,486,486,1.0,1.0
g83,486,486,486,1.0,1.0
slope_g8,486,486,486,1.0,1.0
slope_g23,486,486,486,1.0,1.0
slope_g38,486,486,486,1.0,1.0
slope_g53,486,486,486,1.0,1.0
slope_g68,486,486,486,1.0,1.0
slope_g83,486,486,486,1.0,1.0
fan_width,486,486,486,1.0,1.0
fan_order_score,486,486,486,1.0,1.0
g83_curvature,484,476,486,0.9958847736625515,0.9794238683127572
fan_energy_total,486,486,486,1.0,1.0
fan_energy_ratio,486,486,486,1.0,1.0
hinge_gap,486,486,486,1.0,1.0
hinge_torsion,486,486,486,1.0,1.0
snap_score,486,486,486,1.0,1.0
phase_alignment,486,486,486,1.0,1.0
fan_phase_score,486,486,486,1.0,1.0
gaussian_wave,483,99,486,0.9938271604938271,0.2037037037037037
wave_strength,483,476,486,0.9938271604938271,0.9794238683127572
slow_retention,486,486,486,1.0,1.0
outer_fan_width,486,486,486,1.0,1.0
phase_disagreement,486,163,486,1.0,0.33539094650205764
inertia_wall_score,486,486,486,1.0,1.0
