pattern,rows,reversal_rate,continuation_rate,directional_accuracy,mean_fan_velocity_oscillation_strength
+++,16,0.25,0.75,0.75,122.54746641857855
++-,57,0.5087719298245614,0.49122807017543857,0.47619047619047616,174.5931828993586
+-+,99,0.5555555555555556,0.4444444444444444,0.5,192.5020293432355
+--,59,0.4576271186440678,0.5423728813559322,0.6551724137931034,180.02394671325686
+00,1,0.0,1.0,0.0,1.8489545993797947
-++,56,0.4107142857142857,0.5892857142857143,0.6296296296296297,178.69146112012615
-+-,100,0.57,0.43,0.7,194.3423172377421
-+0,1,0.0,1.0,0.0,9.77933268455672
--+,58,0.603448275862069,0.39655172413793105,0.21052631578947367,192.04426965118083
---,25,0.28,0.72,0.7272727272727273,105.2390515220305
0++,1,0.0,1.0,0.0,78.16525755745533
0+-,1,0.0,1.0,1.0,26.18876290874323
00+,2,1.0,0.0,0.0,40.866692722753214
000,8,0.125,0.875,0.0,0.0
