signal,row_count,reversal_rate,continuation_rate,directional_call_rate,directional_accuracy_within_signal
hinge_torsion_spike,90,0.4888888888888889,0.5111111111111111,0.07777777777777778,0.7142857142857143
phase_disagreement,136,0.5735294117647058,0.4264705882352941,0.007352941176470588,1.0
fan_polarity_inversion,96,0.3958333333333333,0.6041666666666666,0.7708333333333334,0.527027027027027
fan_velocity_oscillation,165,0.5818181818181818,0.41818181818181815,0.36363636363636365,0.5333333333333333
fan_collapse_v2,7,0.7142857142857143,0.2857142857142857,0.0,0.0
fan_collapse_v2_strict,5,0.6,0.4,0.0,0.0
compression_trap,39,0.6923076923076923,0.3076923076923077,0.5641025641025641,0.45454545454545453
compression_trap_strict,35,0.7428571428571429,0.2571428571428571,0.5714285714285714,0.45
fan_energy_release_signal,50,0.48,0.52,0.5,0.52
price_diff_vol_squeeze,58,0.4482758620689655,0.5517241379310345,0.46551724137931033,0.48148148148148145
