variant,flip_score_threshold,alignment_threshold,compression_velocity_min,ratio_threshold,changed_rows_count,new_directional_called,baseline_directional_called,baseline_directional_accuracy,baseline_directional_coverage,baseline_bull_precision,baseline_bear_precision,new_directional_accuracy,new_directional_coverage,new_bull_precision,new_bear_precision,delta_directional_accuracy,delta_directional_coverage,delta_bull_precision,delta_bear_precision
bull_to_neutral,0.12,1.0,,,20,47,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5106382978723404,0.27976190476190477,0.5882352941176471,0.4666666666666667,0.0031756113051761847,-0.11904761904761907,0.04769475357710651,0.0
bull_to_bear,0.12,1.0,,,20,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5882352941176471,0.48,0.0,0.0,0.04769475357710651,0.013333333333333308
bull_to_neutral,0.12,1.0,,0.0,18,49,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5102040816326531,0.2916666666666667,0.5789473684210527,0.4666666666666667,0.002741395065488872,-0.10714285714285715,0.038406827880512084,0.0
bull_to_bear,0.12,1.0,,0.0,18,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5789473684210527,0.4791666666666667,0.0,0.0,0.038406827880512084,0.012500000000000011
bull_to_neutral,0.12,1.0,,-0.05,18,49,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5102040816326531,0.2916666666666667,0.5789473684210527,0.4666666666666667,0.002741395065488872,-0.10714285714285715,0.038406827880512084,0.0
bull_to_bear,0.12,1.0,,-0.05,18,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5789473684210527,0.4791666666666667,0.0,0.0,0.038406827880512084,0.012500000000000011
bull_to_neutral,0.12,1.0,,-0.1,18,49,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5102040816326531,0.2916666666666667,0.5789473684210527,0.4666666666666667,0.002741395065488872,-0.10714285714285715,0.038406827880512084,0.0
bull_to_bear,0.12,1.0,,-0.1,18,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5074626865671642,0.39880952380952384,0.5789473684210527,0.4791666666666667,0.0,0.0,0.038406827880512084,0.012500000000000011
bull_to_neutral,0.12,1.0,0.0,,15,52,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5384615384615384,0.30952380952380953,0.6363636363636364,0.4666666666666667,0.030998851894374235,-0.0892857142857143,0.09582309582309578,0.0
bull_to_bear,0.12,1.0,0.0,,15,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5522388059701493,0.39880952380952384,0.6363636363636364,0.5111111111111111,0.04477611940298509,0.0,0.09582309582309578,0.0444444444444444
bull_to_neutral,0.12,1.0,0.0,0.0,15,52,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5384615384615384,0.30952380952380953,0.6363636363636364,0.4666666666666667,0.030998851894374235,-0.0892857142857143,0.09582309582309578,0.0
bull_to_bear,0.12,1.0,0.0,0.0,15,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5522388059701493,0.39880952380952384,0.6363636363636364,0.5111111111111111,0.04477611940298509,0.0,0.09582309582309578,0.0444444444444444
bull_to_neutral,0.12,1.0,0.0,-0.05,15,52,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5384615384615384,0.30952380952380953,0.6363636363636364,0.4666666666666667,0.030998851894374235,-0.0892857142857143,0.09582309582309578,0.0
bull_to_bear,0.12,1.0,0.0,-0.05,15,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5522388059701493,0.39880952380952384,0.6363636363636364,0.5111111111111111,0.04477611940298509,0.0,0.09582309582309578,0.0444444444444444
bull_to_neutral,0.12,1.0,0.0,-0.1,15,52,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5384615384615384,0.30952380952380953,0.6363636363636364,0.4666666666666667,0.030998851894374235,-0.0892857142857143,0.09582309582309578,0.0
bull_to_bear,0.12,1.0,0.0,-0.1,15,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5522388059701493,0.39880952380952384,0.6363636363636364,0.5111111111111111,0.04477611940298509,0.0,0.09582309582309578,0.0444444444444444
bull_to_neutral,0.12,1.0,5.0,,12,55,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5454545454545454,0.3273809523809524,0.64,0.4666666666666667,0.037991858887381214,-0.07142857142857145,0.09945945945945944,0.0
bull_to_bear,0.12,1.0,5.0,,12,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5671641791044776,0.39880952380952384,0.64,0.5238095238095238,0.05970149253731338,0.0,0.09945945945945944,0.05714285714285716
bull_to_neutral,0.12,1.0,5.0,0.0,12,55,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5454545454545454,0.3273809523809524,0.64,0.4666666666666667,0.037991858887381214,-0.07142857142857145,0.09945945945945944,0.0
bull_to_bear,0.12,1.0,5.0,0.0,12,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5671641791044776,0.39880952380952384,0.64,0.5238095238095238,0.05970149253731338,0.0,0.09945945945945944,0.05714285714285716
bull_to_neutral,0.12,1.0,5.0,-0.05,12,55,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5454545454545454,0.3273809523809524,0.64,0.4666666666666667,0.037991858887381214,-0.07142857142857145,0.09945945945945944,0.0
bull_to_bear,0.12,1.0,5.0,-0.05,12,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5671641791044776,0.39880952380952384,0.64,0.5238095238095238,0.05970149253731338,0.0,0.09945945945945944,0.05714285714285716
bull_to_neutral,0.12,1.0,5.0,-0.1,12,55,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5454545454545454,0.3273809523809524,0.64,0.4666666666666667,0.037991858887381214,-0.07142857142857145,0.09945945945945944,0.0
bull_to_bear,0.12,1.0,5.0,-0.1,12,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5671641791044776,0.39880952380952384,0.64,0.5238095238095238,0.05970149253731338,0.0,0.09945945945945944,0.05714285714285716
bull_to_neutral,0.12,1.0,10.0,,10,57,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.543859649122807,0.3392857142857143,0.6296296296296297,0.4666666666666667,0.03639696255564284,-0.059523809523809534,0.08908908908908908,0.0
bull_to_bear,0.12,1.0,10.0,,10,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5671641791044776,0.39880952380952384,0.6296296296296297,0.525,0.05970149253731338,0.0,0.08908908908908908,0.05833333333333335
bull_to_neutral,0.12,1.0,10.0,0.0,10,57,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.543859649122807,0.3392857142857143,0.6296296296296297,0.4666666666666667,0.03639696255564284,-0.059523809523809534,0.08908908908908908,0.0
bull_to_bear,0.12,1.0,10.0,0.0,10,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5671641791044776,0.39880952380952384,0.6296296296296297,0.525,0.05970149253731338,0.0,0.08908908908908908,0.05833333333333335
bull_to_neutral,0.12,1.0,10.0,-0.05,10,57,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.543859649122807,0.3392857142857143,0.6296296296296297,0.4666666666666667,0.03639696255564284,-0.059523809523809534,0.08908908908908908,0.0
bull_to_bear,0.12,1.0,10.0,-0.05,10,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5671641791044776,0.39880952380952384,0.6296296296296297,0.525,0.05970149253731338,0.0,0.08908908908908908,0.05833333333333335
bull_to_neutral,0.12,1.0,10.0,-0.1,10,57,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.543859649122807,0.3392857142857143,0.6296296296296297,0.4666666666666667,0.03639696255564284,-0.059523809523809534,0.08908908908908908,0.0
bull_to_bear,0.12,1.0,10.0,-0.1,10,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5671641791044776,0.39880952380952384,0.6296296296296297,0.525,0.05970149253731338,0.0,0.08908908908908908,0.05833333333333335
bull_to_neutral,0.12,1.0,15.0,,9,58,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5344827586206896,0.34523809523809523,0.6071428571428571,0.4666666666666667,0.027020072053525412,-0.0535714285714286,0.06660231660231652,0.0
bull_to_bear,0.12,1.0,15.0,,9,67,67,0.5074626865671642,0.39880952380952384,0.5405405405405406,0.4666666666666667,0.5522388059701493,0.39880952380952384,0.6071428571428571,0.5128205128205128,0.04477611940298509,0.0,0.06660231660231652,0.0461538461538461
