variant,flip_score_threshold,alignment_threshold,compression_velocity_min,ratio_threshold,changed_rows_count,new_directional_called,baseline_directional_called,baseline_directional_accuracy,baseline_directional_coverage,baseline_bull_precision,baseline_bear_precision,new_directional_accuracy,new_directional_coverage,new_bull_precision,new_bear_precision,delta_directional_accuracy,delta_directional_coverage,delta_bull_precision,delta_bear_precision
bull_to_neutral,0.12,1.0,,,7,71,78,0.6025641025641025,0.38613861386138615,0.5862068965517241,0.6122448979591837,0.5915492957746479,0.35148514851485146,0.5454545454545454,0.6122448979591837,-0.011014806789454656,-0.034653465346534684,-0.040752351097178674,0.0
bull_to_bear,0.12,1.0,,,7,78,78,0.6025641025641025,0.38613861386138615,0.5862068965517241,0.6122448979591837,0.5641025641025641,0.38613861386138615,0.5454545454545454,0.5714285714285714,-0.038461538461538436,0.0,-0.040752351097178674,-0.04081632653061229
bull_to_neutral,0.12,1.0,,0.0,7,71,78,0.6025641025641025,0.38613861386138615,0.5862068965517241,0.6122448979591837,0.5915492957746479,0.35148514851485146,0.5454545454545454,0.6122448979591837,-0.011014806789454656,-0.034653465346534684,-0.040752351097178674,0.0
bull_to_bear,0.12,1.0,,0.0,7,78,78,0.6025641025641025,0.38613861386138615,0.5862068965517241,0.6122448979591837,0.5641025641025641,0.38613861386138615,0.5454545454545454,0.5714285714285714,-0.038461538461538436,0.0,-0.040752351097178674,-0.04081632653061229
bull_to_neutral,0.12,1.0,,-0.05,6,72,78,0.6025641025641025,0.38613861386138615,0.5862068965517241,0.6122448979591837,0.5833333333333334,0.3564356435643564,0.5217391304347826,0.6122448979591837,-0.019230769230769162,-0.02970297029702973,-0.0644677661169415,0.0
bull_to_bear,0.12,1.0,,-0.05,6,78,78,0.6025641025641025,0.38613861386138615,0.5862068965517241,0.6122448979591837,0.5512820512820513,0.38613861386138615,0.5217391304347826,0.5636363636363636,-0.05128205128205121,0.0,-0.0644677661169415,-0.048608534322820085
bull_to_neutral,0.12,1.0,,-0.1,6,72,78,0.6025641025641025,0.38613861386138615,0.5862068965517241,0.6122448979591837,0.5833333333333334,0.3564356435643564,0.5217391304347826,0.6122448979591837,-0.019230769230769162,-0.02970297029702973,-0.0644677661169415,0.0
bull_to_bear,0.12,1.0,,-0.1,6,78,78,0.6025641025641025,0.38613861386138615,0.5862068965517241,0.6122448979591837,0.5512820512820513,0.38613861386138615,0.5217391304347826,0.5636363636363636,-0.05128205128205121,0.0,-0.0644677661169415,-0.048608534322820085
bull_to_neutral,0.12,1.0,0.0,,5,73,78,0.6025641025641025,0.38613861386138615,0.5862068965517241,0.6122448979591837,0.589041095890411,0.3613861386138614,0.5416666666666666,0.6122448979591837,-0.013523006673691551,-0.024752475247524774,-0.04454022988505746,0.0
bull_to_bear,0.12,1.0,0.0,,5,78,78,0.6025641025641025,0.38613861386138615,0.5862068965517241,0.6122448979591837,0.5641025641025641,0.38613861386138615,0.5416666666666666,0.5740740740740741,-0.038461538461538436,0.0,-0.04454022988505746,-0.03817082388510962
bull_to_neutral,0.12,1.0,0.0,0.0,5,73,78,0.6025641025641025,0.38613861386138615,0.5862068965517241,0.6122448979591837,0.589041095890411,0.3613861386138614,0.5416666666666666,0.6122448979591837,-0.013523006673691551,-0.024752475247524774,-0.04454022988505746,0.0
bull_to_bear,0.12,1.0,0.0,0.0,5,78,78,0.6025641025641025,0.38613861386138615,0.5862068965517241,0.6122448979591837,0.5641025641025641,0.38613861386138615,0.5416666666666666,0.5740740740740741,-0.038461538461538436,0.0,-0.04454022988505746,-0.03817082388510962
bull_to_neutral,0.12,1.0,0.0,-0.05,5,73,78,0.6025641025641025,0.38613861386138615,0.5862068965517241,0.6122448979591837,0.589041095890411,0.3613861386138614,0.5416666666666666,0.6122448979591837,-0.013523006673691551,-0.024752475247524774,-0.04454022988505746,0.0
bull_to_bear,0.12,1.0,0.0,-0.05,5,78,78,0.6025641025641025,0.38613861386138615,0.5862068965517241,0.6122448979591837,0.5641025641025641,0.38613861386138615,0.5416666666666666,0.5740740740740741,-0.038461538461538436,0.0,-0.04454022988505746,-0.03817082388510962
bull_to_neutral,0.12,1.0,0.0,-0.1,5,73,78,0.6025641025641025,0.38613861386138615,0.5862068965517241,0.6122448979591837,0.589041095890411,0.3613861386138614,0.5416666666666666,0.6122448979591837,-0.013523006673691551,-0.024752475247524774,-0.04454022988505746,0.0
bull_to_bear,0.12,1.0,0.0,-0.1,5,78,78,0.6025641025641025,0.38613861386138615,0.5862068965517241,0.6122448979591837,0.5641025641025641,0.38613861386138615,0.5416666666666666,0.5740740740740741,-0.038461538461538436,0.0,-0.04454022988505746,-0.03817082388510962
bull_to_neutral,0.12,1.0,5.0,,5,73,78,0.6025641025641025,0.38613861386138615,0.5862068965517241,0.6122448979591837,0.589041095890411,0.3613861386138614,0.5416666666666666,0.6122448979591837,-0.013523006673691551,-0.024752475247524774,-0.04454022988505746,0.0
bull_to_bear,0.12,1.0,5.0,,5,78,78,0.6025641025641025,0.38613861386138615,0.5862068965517241,0.6122448979591837,0.5641025641025641,0.38613861386138615,0.5416666666666666,0.5740740740740741,-0.038461538461538436,0.0,-0.04454022988505746,-0.03817082388510962
bull_to_neutral,0.12,1.0,5.0,0.0,5,73,78,0.6025641025641025,0.38613861386138615,0.5862068965517241,0.6122448979591837,0.589041095890411,0.3613861386138614,0.5416666666666666,0.6122448979591837,-0.013523006673691551,-0.024752475247524774,-0.04454022988505746,0.0
bull_to_bear,0.12,1.0,5.0,0.0,5,78,78,0.6025641025641025,0.38613861386138615,0.5862068965517241,0.6122448979591837,0.5641025641025641,0.38613861386138615,0.5416666666666666,0.5740740740740741,-0.038461538461538436,0.0,-0.04454022988505746,-0.03817082388510962
bull_to_neutral,0.12,1.0,5.0,-0.05,5,73,78,0.6025641025641025,0.38613861386138615,0.5862068965517241,0.6122448979591837,0.589041095890411,0.3613861386138614,0.5416666666666666,0.6122448979591837,-0.013523006673691551,-0.024752475247524774,-0.04454022988505746,0.0
bull_to_bear,0.12,1.0,5.0,-0.05,5,78,78,0.6025641025641025,0.38613861386138615,0.5862068965517241,0.6122448979591837,0.5641025641025641,0.38613861386138615,0.5416666666666666,0.5740740740740741,-0.038461538461538436,0.0,-0.04454022988505746,-0.03817082388510962
bull_to_neutral,0.12,1.0,5.0,-0.1,5,73,78,0.6025641025641025,0.38613861386138615,0.5862068965517241,0.6122448979591837,0.589041095890411,0.3613861386138614,0.5416666666666666,0.6122448979591837,-0.013523006673691551,-0.024752475247524774,-0.04454022988505746,0.0
