feature,rows,dataset_rate,reversal_rate,continuation_rate,lift
collapse_plus_inertia_v23,1,0.002512562814070352,1.0,0.0,2.1748633879781423
collapse_plus_torque_v23,7,0.017587939698492462,0.7142857142857143,0.2857142857142857,1.553473848555816
torque_plus_inertia_v23,10,0.02512562814070352,0.7,0.3,1.5224043715846993
collapse_plus_torsion_spring_v23,9,0.022613065326633167,0.6666666666666666,0.3333333333333333,1.4499089253187614
fan_collapse_v23,11,0.02763819095477387,0.6363636363636364,0.36363636363636365,1.3840039741679087
inertia_wall_active,20,0.05025125628140704,0.6,0.4,1.3049180327868852
torsion_spring_plus_inertia_v23,19,0.04773869346733668,0.5789473684210527,0.42105263157894735,1.2591314351452403
torque_plus_transition_v23,52,0.1306532663316583,0.5576923076923077,0.4423076923076923,1.2129045817570407
torsion_spring_plus_transition_v23,70,0.17587939698492464,0.5571428571428572,0.44285714285714284,1.2117096018735363
torsion_spring_strong_v23,87,0.2185929648241206,0.5402298850574713,0.45977011494252873,1.1749261981031343
torque_plus_torsion_v23,56,0.1407035175879397,0.5357142857142857,0.4642857142857143,1.165105386416862
torque_imbalance_active_v23,102,0.2562814070351759,0.46078431372549017,0.5392156862745098,1.0021429336762027
fan_energy_cycle_v23,77,0.1934673366834171,0.4155844155844156,0.5714285714285714,0.9038393300688383
