event_feature,precursor_feature,lag,event_rows,valid_rows,precursor_fired_rows,precursor_rate_on_event,base_bull,base_bear,base_neutral,truth_bull,truth_bear,keep_rate,flip_rate,neutralize_help_rate,best_action,best_rate,pre_neutral_count,pre_neutral_rate
inertia_wall_active_swept,inertia_warning_v23,1,48,48,9,0.1875,1,4,4,3,6,0.1111111111111111,0.4444444444444444,0.8,neutralize,0.8,4,0.4444444444444444
torsion_plus_transition_swept,torsion_transition_warning_v23,1,152,152,62,0.40789473684210525,2,7,53,28,34,0.06451612903225806,0.08064516129032258,0.5555555555555556,neutralize,0.5555555555555556,53,0.8548387096774194
fan_energy_cycle_v23,energy_cycle_warning_v23,3,149,149,36,0.24161073825503357,5,12,19,16,20,0.2222222222222222,0.25,0.5294117647058824,neutralize,0.5294117647058824,19,0.5277777777777778
inertia_wall_active_swept,inertia_warning_v23,2,48,48,6,0.125,1,2,3,2,4,0.3333333333333333,0.16666666666666666,0.3333333333333333,keep,0.3333333333333333,3,0.5
torsion_plus_transition_swept,torsion_transition_warning_v23,2,152,152,56,0.3684210526315789,5,5,46,28,28,0.125,0.05357142857142857,0.3,neutralize,0.3,46,0.8214285714285714
fan_energy_cycle_v23,energy_cycle_warning_v23,2,149,149,68,0.4563758389261745,7,11,50,36,32,0.20588235294117646,0.058823529411764705,0.2222222222222222,neutralize,0.2222222222222222,50,0.7352941176470589
torsion_plus_transition_swept,torsion_transition_warning_v23,3,152,152,65,0.4276315789473684,1,9,55,31,34,0.12307692307692308,0.03076923076923077,0.2,neutralize,0.2,55,0.8461538461538461
fan_collapse_v23_swept,fan_collapse_warning_v23,1,30,30,6,0.2,0,1,5,1,5,0.16666666666666666,0.0,0.0,keep,0.16666666666666666,5,0.8333333333333334
fan_collapse_v23_swept,fan_collapse_warning_v23,3,30,30,7,0.23333333333333334,0,1,6,1,6,0.14285714285714285,0.0,0.0,keep,0.14285714285714285,6,0.8571428571428571
inertia_wall_active_swept,inertia_warning_v23,3,48,48,7,0.14583333333333334,0,1,6,4,3,0.14285714285714285,0.0,0.0,keep,0.14285714285714285,6,0.8571428571428571
torque_plus_transition_swept,torque_transition_warning_v23,1,97,97,26,0.26804123711340205,0,0,26,12,14,0.0,0.0,0.0,keep,0.0,26,1.0
torque_plus_transition_swept,torque_transition_warning_v23,2,97,97,22,0.2268041237113402,0,0,22,15,7,0.0,0.0,0.0,keep,0.0,22,1.0
torque_plus_transition_swept,torque_transition_warning_v23,3,97,97,22,0.2268041237113402,0,0,22,11,10,0.0,0.0,0.0,keep,0.0,22,1.0
collapse_plus_inertia_swept,collapse_warning_plus_inertia_v23,1,6,6,1,0.16666666666666666,0,0,1,0,1,0.0,0.0,0.0,keep,0.0,1,1.0
collapse_plus_torque_swept,collapse_warning_plus_torque_v23,2,9,9,1,0.1111111111111111,0,0,1,0,1,0.0,0.0,0.0,keep,0.0,1,1.0
collapse_plus_torque_swept,collapse_warning_plus_torque_v23,3,9,9,1,0.1111111111111111,0,0,1,0,1,0.0,0.0,0.0,keep,0.0,1,1.0
fan_collapse_v23_swept,fan_collapse_warning_v23,2,30,30,2,0.06666666666666667,0,0,2,0,2,0.0,0.0,0.0,keep,0.0,2,1.0
collapse_plus_torque_swept,collapse_warning_plus_torque_v23,1,9,9,0,0.0,0,0,0,0,0,0.0,0.0,0.0,none,0.0,0,0.0
collapse_plus_inertia_swept,collapse_warning_plus_inertia_v23,2,6,6,0,0.0,0,0,0,0,0,0.0,0.0,0.0,none,0.0,0,0.0
collapse_plus_inertia_swept,collapse_warning_plus_inertia_v23,3,6,6,0,0.0,0,0,0,0,0,0.0,0.0,0.0,none,0.0,0,0.0
fan_energy_cycle_v23,energy_cycle_warning_v23,1,149,149,0,0.0,0,0,0,0,0,0.0,0.0,0.0,none,0.0,0,0.0
