model,slow_retention_threshold,hinge_threshold,transition_min,bear_only,trigger_count,rows,directional_called,neutral_called,directional_accuracy,directional_coverage,neutral_rate,bull_precision,bear_precision
pred_ruleb_s0_95_h0_15_t1_both,0.95,0.15,1,False,28,936,323,613,0.5603715170278638,0.3450854700854701,0.6549145299145299,0.5769230769230769,0.5449101796407185
pred_ruleb_s1_0_h0_15_t1_both,1.0,0.15,1,False,28,936,323,613,0.5603715170278638,0.3450854700854701,0.6549145299145299,0.5769230769230769,0.5449101796407185
pred_ruleb_s0_95_h0_2_t1_both,0.95,0.2,1,False,22,936,329,607,0.5592705167173252,0.35149572649572647,0.6485042735042735,0.5769230769230769,0.5433526011560693
pred_ruleb_s1_0_h0_2_t1_both,1.0,0.2,1,False,22,936,329,607,0.5592705167173252,0.35149572649572647,0.6485042735042735,0.5769230769230769,0.5433526011560693
pred_ruleb_s0_9_h0_15_t1_both,0.9,0.15,1,False,29,936,322,614,0.5590062111801242,0.344017094017094,0.655982905982906,0.5769230769230769,0.5421686746987951
pred_ruleb_s0_95_h0_15_t1_bear,0.95,0.15,1,True,27,936,324,612,0.558641975308642,0.34615384615384615,0.6538461538461539,0.5732484076433121,0.5449101796407185
pred_ruleb_s1_0_h0_15_t1_bear,1.0,0.15,1,True,27,936,324,612,0.558641975308642,0.34615384615384615,0.6538461538461539,0.5732484076433121,0.5449101796407185
pred_ruleb_s0_95_h0_3_t1_both,0.95,0.3,1,False,9,936,342,594,0.5584795321637427,0.36538461538461536,0.6346153846153846,0.5769230769230769,0.543010752688172
pred_ruleb_s1_0_h0_3_t1_both,1.0,0.3,1,False,9,936,342,594,0.5584795321637427,0.36538461538461536,0.6346153846153846,0.5769230769230769,0.543010752688172
pred_ruleb_s0_85_h0_15_t1_both,0.85,0.15,1,False,34,936,317,619,0.5583596214511041,0.3386752136752137,0.6613247863247863,0.5806451612903226,0.5370370370370371
pred_ruleb_s0_95_h0_25_t1_both,0.95,0.25,1,False,16,936,335,601,0.5582089552238806,0.3579059829059829,0.6420940170940171,0.5769230769230769,0.5418994413407822
pred_ruleb_s1_0_h0_25_t1_both,1.0,0.25,1,False,16,936,335,601,0.5582089552238806,0.3579059829059829,0.6420940170940171,0.5769230769230769,0.5418994413407822
pred_ruleb_s0_9_h0_2_t1_both,0.9,0.2,1,False,23,936,328,608,0.5579268292682927,0.3504273504273504,0.6495726495726496,0.5769230769230769,0.5406976744186046
pred_ruleb_s0_85_h0_3_t1_both,0.85,0.3,1,False,14,936,337,599,0.5578635014836796,0.36004273504273504,0.6399572649572649,0.5806451612903226,0.5384615384615384
pred_ruleb_s0_95_h0_2_t1_bear,0.95,0.2,1,True,21,936,330,606,0.5575757575757576,0.3525641025641026,0.6474358974358975,0.5732484076433121,0.5433526011560693
pred_ruleb_s1_0_h0_2_t1_bear,1.0,0.2,1,True,21,936,330,606,0.5575757575757576,0.3525641025641026,0.6474358974358975,0.5732484076433121,0.5433526011560693
pred_ruleb_s0_85_h0_25_t1_both,0.85,0.25,1,False,21,936,330,606,0.5575757575757576,0.3525641025641026,0.6474358974358975,0.5806451612903226,0.5371428571428571
pred_ruleb_s0_85_h0_15_t2_both,0.85,0.15,2,False,3,936,348,588,0.5574712643678161,0.3717948717948718,0.6282051282051282,0.5732484076433121,0.5445026178010471
pred_ruleb_s0_85_h0_15_t2_bear,0.85,0.15,2,True,3,936,348,588,0.5574712643678161,0.3717948717948718,0.6282051282051282,0.5732484076433121,0.5445026178010471
pred_ruleb_s0_85_h0_2_t2_both,0.85,0.2,2,False,3,936,348,588,0.5574712643678161,0.3717948717948718,0.6282051282051282,0.5732484076433121,0.5445026178010471
pred_ruleb_s0_85_h0_2_t2_bear,0.85,0.2,2,True,3,936,348,588,0.5574712643678161,0.3717948717948718,0.6282051282051282,0.5732484076433121,0.5445026178010471
pred_ruleb_s0_85_h0_25_t2_both,0.85,0.25,2,False,3,936,348,588,0.5574712643678161,0.3717948717948718,0.6282051282051282,0.5732484076433121,0.5445026178010471
pred_ruleb_s0_85_h0_25_t2_bear,0.85,0.25,2,True,3,936,348,588,0.5574712643678161,0.3717948717948718,0.6282051282051282,0.5732484076433121,0.5445026178010471
pred_ruleb_s0_85_h0_3_t2_both,0.85,0.3,2,False,3,936,348,588,0.5574712643678161,0.3717948717948718,0.6282051282051282,0.5732484076433121,0.5445026178010471
pred_ruleb_s0_85_h0_3_t2_bear,0.85,0.3,2,True,3,936,348,588,0.5574712643678161,0.3717948717948718,0.6282051282051282,0.5732484076433121,0.5445026178010471
pred_ruleb_s0_9_h0_15_t1_bear,0.9,0.15,1,True,28,936,323,613,0.5572755417956656,0.3450854700854701,0.6549145299145299,0.5732484076433121,0.5421686746987951
pred_ruleb_s0_85_h0_2_t1_both,0.85,0.2,1,False,28,936,323,613,0.5572755417956656,0.3450854700854701,0.6549145299145299,0.5806451612903226,0.5357142857142857
pred_ruleb_s0_9_h0_3_t1_both,0.9,0.3,1,False,10,936,341,595,0.5571847507331378,0.3643162393162393,0.6356837606837606,0.5769230769230769,0.5405405405405406
pred_ruleb_s0_9_h0_25_t1_both,0.9,0.25,1,False,17,936,334,602,0.5568862275449101,0.35683760683760685,0.6431623931623932,0.5769230769230769,0.5393258426966292
pred_ruleb_s0_95_h0_3_t1_bear,0.95,0.3,1,True,8,936,343,593,0.5568513119533528,0.36645299145299143,0.6335470085470085,0.5732484076433121,0.543010752688172
pred_ruleb_s1_0_h0_3_t1_bear,1.0,0.3,1,True,8,936,343,593,0.5568513119533528,0.36645299145299143,0.6335470085470085,0.5732484076433121,0.543010752688172
pred_ruleb_s0_95_h0_25_t1_bear,0.95,0.25,1,True,15,936,336,600,0.5565476190476191,0.358974358974359,0.6410256410256411,0.5732484076433121,0.5418994413407822
pred_ruleb_s1_0_h0_25_t1_bear,1.0,0.25,1,True,15,936,336,600,0.5565476190476191,0.358974358974359,0.6410256410256411,0.5732484076433121,0.5418994413407822
pred_ruleb_s0_9_h0_2_t1_bear,0.9,0.2,1,True,22,936,329,607,0.5562310030395137,0.35149572649572647,0.6485042735042735,0.5732484076433121,0.5406976744186046
pred_ruleb_s0_9_h0_15_t2_both,0.9,0.15,2,False,2,936,349,587,0.5558739255014327,0.37286324786324787,0.6271367521367521,0.5732484076433121,0.5416666666666666
pred_ruleb_s0_9_h0_15_t2_bear,0.9,0.15,2,True,2,936,349,587,0.5558739255014327,0.37286324786324787,0.6271367521367521,0.5732484076433121,0.5416666666666666
pred_ruleb_s0_9_h0_2_t2_both,0.9,0.2,2,False,2,936,349,587,0.5558739255014327,0.37286324786324787,0.6271367521367521,0.5732484076433121,0.5416666666666666
pred_ruleb_s0_9_h0_2_t2_bear,0.9,0.2,2,True,2,936,349,587,0.5558739255014327,0.37286324786324787,0.6271367521367521,0.5732484076433121,0.5416666666666666
pred_ruleb_s0_9_h0_25_t2_both,0.9,0.25,2,False,2,936,349,587,0.5558739255014327,0.37286324786324787,0.6271367521367521,0.5732484076433121,0.5416666666666666
pred_ruleb_s0_9_h0_25_t2_bear,0.9,0.25,2,True,2,936,349,587,0.5558739255014327,0.37286324786324787,0.6271367521367521,0.5732484076433121,0.5416666666666666
pred_ruleb_s0_9_h0_3_t2_both,0.9,0.3,2,False,2,936,349,587,0.5558739255014327,0.37286324786324787,0.6271367521367521,0.5732484076433121,0.5416666666666666
pred_ruleb_s0_9_h0_3_t2_bear,0.9,0.3,2,True,2,936,349,587,0.5558739255014327,0.37286324786324787,0.6271367521367521,0.5732484076433121,0.5416666666666666
pred_ruleb_s0_95_h0_15_t2_both,0.95,0.15,2,False,2,936,349,587,0.5558739255014327,0.37286324786324787,0.6271367521367521,0.5732484076433121,0.5416666666666666
pred_ruleb_s0_95_h0_15_t2_bear,0.95,0.15,2,True,2,936,349,587,0.5558739255014327,0.37286324786324787,0.6271367521367521,0.5732484076433121,0.5416666666666666
pred_ruleb_s0_95_h0_2_t2_both,0.95,0.2,2,False,2,936,349,587,0.5558739255014327,0.37286324786324787,0.6271367521367521,0.5732484076433121,0.5416666666666666
pred_ruleb_s0_95_h0_2_t2_bear,0.95,0.2,2,True,2,936,349,587,0.5558739255014327,0.37286324786324787,0.6271367521367521,0.5732484076433121,0.5416666666666666
pred_ruleb_s0_95_h0_25_t2_both,0.95,0.25,2,False,2,936,349,587,0.5558739255014327,0.37286324786324787,0.6271367521367521,0.5732484076433121,0.5416666666666666
pred_ruleb_s0_95_h0_25_t2_bear,0.95,0.25,2,True,2,936,349,587,0.5558739255014327,0.37286324786324787,0.6271367521367521,0.5732484076433121,0.5416666666666666
