cluster_id,start_row,end_row,length,start_epoch,end_epoch,trigger_types,truth_sequence,base_sequence,combo_sequence,good_combo_count,bad_combo_count
1,2,4,3,320762,320764,osc_tag,Bear -> Bear -> Bull,Neutral -> Bear -> Bull,Neutral -> Bear -> Bull,0,0
2,6,12,7,320766,320772,ruleb_raw|osc|combo|osc_tag,Bear -> Bull -> Bull -> Bear -> Bear -> Bear -> Bull,Bear -> Bull -> Neutral -> Neutral -> Bear -> Neutral -> Neutral,Neutral -> Bull -> Neutral -> Neutral -> Bear -> Neutral -> Neutral,0,1
3,14,36,23,320774,320796,osc_tag,Bear -> Bear -> Bear -> Bear -> Bull -> Bear -> Bear -> Bull -> Bear -> Bull -> Bull -> Bull -> Bear -> Bull -> Bull -> Bull -> Bull -> Bear -> Bear -> Bull -> Bull -> Bull -> Bull,Neutral -> Bear -> Neutral -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bull -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bull -> Neutral,Neutral -> Bear -> Neutral -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bull -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bull -> Neutral,0,0
4,38,58,21,320798,320818,ruleb_raw|osc|combo|osc_tag,Bull -> Bear -> Bear -> Bull -> Bear -> Bear -> Bull -> Bull -> Bear -> Bear -> Bear -> Bear -> Bear -> Bull -> Bull -> Bear -> Bull -> Bear -> Bull -> Bear -> Bear,Neutral -> Neutral -> Neutral -> Bear -> Bear -> Neutral -> Bull -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Bear -> Neutral -> Bear -> Neutral -> Bear -> Bull -> Bear -> Neutral -> Neutral,Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Bull -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Bear -> Neutral -> Bear -> Neutral -> Bear -> Bull -> Bear -> Neutral -> Neutral,1,0
5,62,81,20,320822,320841,osc_tag,Bull -> Bull -> Bear -> Bear -> Bull -> Bear -> Bull -> Bear -> Bull -> Bear -> Bull -> Bull -> Bull -> Bear -> Bull -> Bull -> Bull -> Bear -> Bear -> Bear,Neutral -> Neutral -> Bear -> Bull -> Neutral -> Bull -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Bull -> Neutral -> Bull -> Neutral -> Bull -> Bear -> Bear -> Bear -> Neutral,Neutral -> Neutral -> Bear -> Bull -> Neutral -> Bull -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Bull -> Neutral -> Bull -> Neutral -> Bull -> Bear -> Bear -> Bear -> Neutral,0,0
6,83,85,3,320843,320845,osc_tag,Bull -> Bull -> Bull,Bear -> Neutral -> Bull,Bear -> Neutral -> Bull,0,0
7,88,110,23,320848,320869,ruleb_raw|osc|combo|osc_tag,Bull -> Bear -> Bear -> Bear -> Bear -> Bull -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bull -> Bear -> Bull -> Bear -> Bull -> Bear -> Bear -> Bull -> Bear -> Bear,Bear -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Bear -> Bear -> Neutral -> Neutral -> Bear -> Neutral -> Neutral -> Bull -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Bull,Bear -> Neutral -> Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Bear -> Neutral -> Bear -> Bear -> Neutral -> Neutral -> Bear -> Neutral -> Neutral -> Bull -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Bull,0,1
8,112,120,9,320871,320884,osc_tag,Bear -> Bull -> Bull -> Bear -> Bear -> Bear -> Bull -> Bear -> Bear,Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Bull -> Bear -> Neutral -> Neutral,Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Bull -> Bear -> Neutral -> Neutral,0,0
9,123,126,4,320887,320889,osc_tag,Bull -> Bull -> Bull -> Bear,Neutral -> Bear -> Neutral -> Bull,Neutral -> Bear -> Neutral -> Bull,0,0
10,130,132,3,320893,320895,osc_tag,Bull -> Bear -> Bull,Neutral -> Neutral -> Bear,Neutral -> Neutral -> Bear,0,0
11,134,140,7,320897,320905,ruleb_raw|persist|osc|combo|osc_tag,Bear -> Bear -> Bear -> Bear -> Bear -> Bear -> Bull,Bear -> Bull -> Neutral -> Neutral -> Bear -> Neutral -> Neutral,Bear -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral -> Neutral,1,1
12,142,142,1,320908,320908,osc_tag,Bull,Bull,Bull,0,0
13,145,149,5,320913,320917,osc_tag,Bull -> Bull -> Bear -> Bull -> Bull,Neutral -> Neutral -> Bear -> Neutral -> Neutral,Neutral -> Neutral -> Bear -> Neutral -> Neutral,0,0
