component,fires,base_error_rate_when_fired,base_error_rate_when_not_fired,bull_error_rate_when_fired,bear_error_rate_when_fired,overlap_ruleb_raw,overlap_good_combo,overlap_bad_combo
phase_disagree_count_3,310,0.9064516129032258,0.7348242811501597,0.8986486486486487,0.9130434782608695,36,3,1
fs_disagree_count_3,390,0.9,0.7142857142857143,0.8932584269662921,0.9052132701421801,43,3,3
ruleb_raw_warning,88,0.8409090909090909,0.7865566037735849,1.0,0.6585365853658537,88,14,14
fast_alt_3epoch,219,0.821917808219178,0.7824267782426778,0.8706896551724138,0.7669902912621359,21,4,0
ruleb_persist_2of3,39,0.8205128205128205,0.79041248606466,1.0,0.72,27,1,5
width_rebound_pattern_3,367,0.8010899182561307,0.7855887521968365,0.8564102564102564,0.7352941176470589,28,4,2
oscillation_warning_v24,827,0.7968561064087062,0.7522935779816514,0.8213333333333334,0.7755555555555556,81,14,14
energy_flip_count_3,884,0.7816742081447964,0.9615384615384616,0.8004484304932735,0.7614678899082569,86,14,14
polarity_inv_count_3,475,0.7431578947368421,0.841648590021692,0.8641304347826086,0.6643598615916955,55,14,13
hinge_flip_count_3,0,0.0,0.7916666666666666,0.0,0.0,0,0,0
