epoch,truth,pred_v22_base,pred_ruleb_raw,pred_ruleb_persist,pred_ruleb_osc,pred_ruleb_combo,trigger_ruleb_raw,trigger_ruleb_persist,trigger_ruleb_osc,trigger_ruleb_combo,override_help_class_ruleb_raw,override_help_class_ruleb_persist,override_help_class_ruleb_osc,override_help_class_ruleb_combo,reason_ruleb_raw,reason_ruleb_persist,reason_ruleb_osc,reason_ruleb_combo,slow_retention,hinge_torsion,transition_score_v23,ruleb_raw_warning,ruleb_persist_2,ruleb_persist_2of3,ruleb_persist_3of3,ruleb_warn_count_3,fast_alt_3epoch,fs_disagree_count_3,phase_disagree_count_3,polarity_inv_count_3,hinge_flip_count_3,energy_flip_count_3,width_rebound_pattern_3,width_monotonic_collapse_3,oscillation_score_v24,oscillation_warning_v24,fan_width_velocity,fan_energy_total,energy_delta,trigger_reason,trigger_detail
320762,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.6308676004664449,0.3051878999173562,1,0,0,0,0,0,1,1,0,2,0,1,0,0,3,1,7.544937578000827,1.4896251302798191,0.4797768698190339,oscillation,"fast_alt,polarity_cnt=2,energy_flip=1"
320763,Bear,Bear,Bear,Bear,Bear,Bear,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,1.4451113384311611,0.2335278752319936,0,0,0,0,0,0,0,1,0,2,0,1,0,0,2,1,-153.63183562931954,6.052300356819615,4.562675226539796,oscillation,"polarity_cnt=2,energy_flip=1"
320764,Bull,Bull,Bull,Bull,Bull,Bull,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,4.586733880085376,0.0037780460098555,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,1,-99.04278018874174,10.5848634015274,4.532563044707785,oscillation,"polarity_cnt=1,energy_flip=1"
320766,Bear,Bear,Neutral,Bear,Neutral,Neutral,1,0,1,1,BAD_NEUTRALIZE_RIGHT_BASE,NO_EFFECT,BAD_NEUTRALIZE_RIGHT_BASE,BAD_NEUTRALIZE_RIGHT_BASE,ruleb_raw|slow_retention=3.0384|abs_hinge=1.0|transition=2,,ruleb_raw|oscillation|energy_flip=2|width_rebound=1|osc_score=2,ruleb_raw|oscillation|warn_count_3=1|osc_score=2,3.0384492642879195,1.0,2,1,0,0,0,1,0,1,1,0,0,2,1,0,2,1,-51.772410745266825,6.574459842853685,3.2791429362860076,ruleb_raw|oscillation,"energy_flip=2,width_rebound"
320767,Bull,Bull,Bull,Bull,Bull,Bull,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,1.4931208656435049,0.2494685213208883,0,0,0,0,0,1,1,1,1,0,0,2,0,0,2,1,-35.105061129666865,7.112660690027042,0.538200847173357,oscillation,"fast_alt,energy_flip=2"
320768,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,1.4395588319130184,0.9417018172084136,2,1,0,1,0,2,0,2,2,0,0,2,0,0,3,1,178.6231627488305,3.201231374490817,-3.9114293155362247,ruleb_raw|persist_2of3|oscillation,"fs_disagree=2,phase_cnt=2,energy_flip=2"
320769,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.926405180069196,0.6047316866709534,2,0,0,0,0,1,0,2,1,1,0,1,1,0,4,1,-16.636691800464178,1.250584415236517,-1.9506469592542999,oscillation,"fs_disagree=2,polarity_cnt=1,energy_flip=1,width_rebound"
320770,Bear,Bear,Bear,Bear,Bear,Bear,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,1.9382255836644615,0.0519796703762192,1,0,0,0,0,1,0,2,1,2,0,2,1,0,4,1,99.15228967784788,6.124725862300693,4.874141447064176,oscillation,"fs_disagree=2,polarity_cnt=2,energy_flip=2,width_rebound"
320771,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.3656563708736939,0.2784494937931863,0,0,0,0,0,0,1,1,0,2,0,2,1,0,4,1,-159.0624388477736,1.311192734141514,-4.813533128159179,oscillation,"fast_alt,polarity_cnt=2,energy_flip=2,width_rebound"
320772,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,0.0510714518040913,0.4859435850258327,0,0,0,0,0,0,0,0,0,1,0,2,1,0,3,1,13.966761815565404,0.4729959426331334,-0.8381967915083806,oscillation,"polarity_cnt=1,energy_flip=2,width_rebound"
