component,fires,directional_fires,base_error_rate_when_fired_all,base_error_rate_when_fired_directional,bull_error_rate_when_fired_directional,bear_error_rate_when_fired_directional,overlap_ruleb_raw,overlap_good_primary,overlap_bad_primary
osc_core_b,277,51,0.9097472924187726,0.5098039215686274,0.5161290322580645,0.5,31,2,0
phase_disagree_count_3,310,59,0.9064516129032258,0.5084745762711864,0.5454545454545454,0.46153846153846156,36,2,0
ruleb_raw_warning,88,28,0.8409090909090909,0.5,1.0,0.48148148148148145,88,3,0
osc_core_a,320,62,0.896875,0.46774193548387094,0.5142857142857142,0.4074074074074074,35,3,0
fs_disagree_count_3,390,73,0.9,0.4657534246575342,0.525,0.3939393939393939,43,3,0
fast_alt_3epoch,219,73,0.821917808219178,0.4657534246575342,0.4,0.5,21,2,0
polarity_inv_count_3,475,226,0.7431578947368421,0.46017699115044247,0.5614035087719298,0.4260355029585799,55,3,0
oscillation_warning_v24,827,307,0.7968561064087062,0.4527687296416938,0.46825396825396826,0.4419889502762431,81,3,0
width_rebound_pattern_3,367,132,0.8010899182561307,0.44696969696969696,0.42857142857142855,0.4578313253012048,28,0,0
energy_flip_count_3,884,345,0.7816742081447964,0.4405797101449275,0.42207792207792205,0.45549738219895286,86,3,0
osc_core_c,116,18,0.8793103448275862,0.2222222222222222,0.3333333333333333,0.16666666666666666,13,2,0
ruleb_persist_2of3,39,9,0.8205128205128205,0.2222222222222222,1.0,0.125,27,0,0
hinge_flip_count_3,0,0,0.0,0.0,0.0,0.0,0,0,0
