epoch,truth,pred_v22_base,pred_ruleb_raw,pred_ruleb_core_a,pred_ruleb_core_b,pred_ruleb_core_c,pred_ruleb_core_a_bear,pred_ruleb_core_a_bull,trigger_ruleb_raw,trigger_ruleb_core_a,trigger_ruleb_core_b,trigger_ruleb_core_c,trigger_ruleb_core_a_bear,trigger_ruleb_core_a_bull,override_help_class_ruleb_raw,override_help_class_ruleb_core_a,override_help_class_ruleb_core_b,override_help_class_ruleb_core_c,override_help_class_ruleb_core_a_bear,override_help_class_ruleb_core_a_bull,override_side_class_ruleb_raw,override_side_class_ruleb_core_a,override_side_class_ruleb_core_b,override_side_class_ruleb_core_c,override_side_class_ruleb_core_a_bear,override_side_class_ruleb_core_a_bull,reason_ruleb_raw,reason_ruleb_core_a,reason_ruleb_core_b,reason_ruleb_core_c,reason_ruleb_core_a_bear,reason_ruleb_core_a_bull,slow_retention,hinge_torsion,transition_score_v23,ruleb_raw_warning,ruleb_persist_2of3,ruleb_warn_count_3,fast_alt_3epoch,fs_disagree_count_3,phase_disagree_count_3,polarity_inv_count_3,hinge_flip_count_3,energy_flip_count_3,width_rebound_pattern_3,width_monotonic_collapse_3,osc_core_phase,osc_core_fs,osc_core_fastalt,osc_core_count,osc_core_a,osc_core_b,osc_core_c,oscillation_score_v24,oscillation_warning_v24,fan_width_velocity,fan_energy_total,energy_delta,trigger_reason,trigger_detail
320766,Bear,Bear,Neutral,Bear,Bear,Bear,Bear,Bear,1,0,0,0,0,0,BAD_NEUTRALIZE_RIGHT_BASE,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,BAD_SUPPRESS_RIGHT_BEAR,,,,,,ruleb_raw|side=both|slow=3.0384|abs_hinge=1.0000|transition=2|phase3=1|fs3=1|fast_alt=0|core_count=0,,,,,,3.0384492642879195,1.0,2,1,0,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,2,1,-51.772410745266825,6.574459842853685,3.2791429362860076,ruleb_raw,"phase3=1,fs3=1,fast_alt=0,core_count=0,slow=3.0384,abs_hinge=1.0000,transition=2"
320768,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,,,1.4395588319130184,0.9417018172084136,2,1,1,2,0,2,2,0,0,2,0,0,1,1,0,2,1,1,0,3,1,178.6231627488305,3.201231374490817,-3.9114293155362247,ruleb_raw|osc_core_a|osc_core_b,"phase3=2,fs3=2,fast_alt=0,core_count=2,slow=1.4396,abs_hinge=0.9417,transition=2"
320774,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,,,0.1357741705742228,0.3090854451841213,1,0,0,0,0,2,2,0,0,2,0,0,1,1,0,2,1,1,0,3,1,-1.2859233241033508,0.4466671394729928,-0.30187601088073285,osc_core_a|osc_core_b,"phase3=2,fs3=2,fast_alt=0,core_count=2,slow=0.1358,abs_hinge=0.3091,transition=1"
320775,Bear,Bear,Bear,Bear,Bear,Bear,Bear,Bear,0,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,,,0.6362622931119404,0.1230550489516129,1,0,0,0,0,2,2,1,0,3,1,0,1,1,0,2,1,1,0,5,1,42.889795363546,1.9418902054621867,1.4952230659891939,osc_core_a|osc_core_b,"phase3=2,fs3=2,fast_alt=0,core_count=2,slow=0.6363,abs_hinge=0.1231,transition=1"
320779,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,,,2.543712421304008,1.0,2,1,0,1,1,2,2,1,0,2,0,0,1,1,1,3,1,1,1,5,1,-62.17946413606114,3.594517761404859,-2.472348094539484,ruleb_raw|osc_core_a|osc_core_b|osc_core_c,"phase3=2,fs3=2,fast_alt=1,core_count=3,slow=2.5437,abs_hinge=1.0000,transition=2"
320780,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,,,0.2873084660586755,0.2192586499741651,1,0,0,1,0,2,2,1,0,2,0,0,1,1,0,2,1,1,0,4,1,-63.04401019981015,2.251414632772139,-1.3431031286327197,osc_core_a|osc_core_b,"phase3=2,fs3=2,fast_alt=0,core_count=2,slow=0.2873,abs_hinge=0.2193,transition=1"
320781,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,,,0.811680590359174,0.137688581800899,1,0,0,1,0,3,2,1,0,2,0,0,1,1,0,2,1,1,0,4,1,41.79563346775831,2.31399440244968,0.06257976967754075,osc_core_a|osc_core_b,"phase3=2,fs3=3,fast_alt=0,core_count=2,slow=0.8117,abs_hinge=0.1377,transition=1"
320784,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,,,0.973829298025521,1.0,2,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1,-19.797905809333315,2.305253331682252,-0.8877544865954405,ruleb_raw,"phase3=1,fs3=1,fast_alt=0,core_count=0,slow=0.9738,abs_hinge=1.0000,transition=2"
320785,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,,,0.9224133815041567,0.1769615264938427,0,0,0,1,1,2,1,0,0,1,1,0,0,1,1,2,1,0,1,4,1,65.64680633916578,1.7768157382924985,-0.5284375933897534,osc_core_a|osc_core_c,"phase3=1,fs3=2,fast_alt=1,core_count=2,slow=0.9224,abs_hinge=0.1770,transition=0"
320788,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,,,0.6311482615783461,0.4972887476968185,1,0,0,0,0,2,2,0,0,1,1,0,1,1,0,2,1,1,0,4,1,-28.693790912424447,1.5678286232741812,0.3320424451794679,osc_core_a|osc_core_b,"phase3=2,fs3=2,fast_alt=0,core_count=2,slow=0.6311,abs_hinge=0.4973,transition=1"
