epoch,truth,pred_v22_base,pred_bear_raw,pred_bear_core_a,pred_bear_core_b,pred_bear_core_c,pred_bear_core_a_lite,trigger_bear_raw,trigger_bear_core_a,trigger_bear_core_b,trigger_bear_core_c,trigger_bear_core_a_lite,override_help_class_bear_raw,override_help_class_bear_core_a,override_help_class_bear_core_b,override_help_class_bear_core_c,override_help_class_bear_core_a_lite,override_side_class_bear_raw,override_side_class_bear_core_a,override_side_class_bear_core_b,override_side_class_bear_core_c,override_side_class_bear_core_a_lite,reason_bear_raw,reason_bear_core_a,reason_bear_core_b,reason_bear_core_c,reason_bear_core_a_lite,slow_retention,hinge_torsion,transition_score_v23,ruleb_raw_warning,ruleb_warn_count_3,phase_disagree_count_3,fs_disagree_count_3,fast_alt_3epoch,osc_core_count,osc_core_a,osc_core_b,osc_core_c,fan_width_velocity,fan_energy_total,energy_delta
320760,Bear,Bull,Bull,Bull,Bull,Bull,Bull,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,0.6709477146432619,0.2115130099860697,0,0,0,0,0,0,0,0,0,0,,1.785051272072451,0.0
320761,Bull,Bear,Bear,Bear,Bear,Bear,Bear,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,0.3217650128699461,0.1113788200388419,1,0,0,0,0,0,0,0,0,0,70.62031997945451,1.0098482604607852,-0.7752030116116657
320762,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,0.6308676004664449,0.3051878999173562,1,0,0,0,1,1,1,0,0,0,7.544937578000827,1.4896251302798191,0.4797768698190339
320763,Bear,Bear,Bear,Bear,Bear,Bear,Bear,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,1.4451113384311611,0.2335278752319936,0,0,0,0,1,0,0,0,0,0,-153.63183562931954,6.052300356819615,4.562675226539796
320764,Bull,Bull,Bull,Bull,Bull,Bull,Bull,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,4.586733880085376,0.0037780460098555,0,0,0,0,1,0,0,0,0,0,-99.04278018874174,10.5848634015274,4.532563044707785
320765,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,0.6286243587692297,1.0,1,0,0,0,0,0,0,0,0,0,185.1143021214375,3.295316906567677,-7.289546494959723
320766,Bear,Bear,Neutral,Bear,Bear,Bear,Bear,1,0,0,0,0,BAD_NEUTRALIZE_RIGHT_BASE,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,BAD_SUPPRESS_RIGHT_BEAR,,,,,Bear-only RuleB raw|base=Bear|truth=Bear|slow=3.0384|abs_hinge=1.0000|transition=2|phase3=1|fs3=1|fast_alt=0|core_count=0,,,,,3.0384492642879195,1.0,2,1,1,1,1,0,0,0,0,0,-51.772410745266825,6.574459842853685,3.2791429362860076
320767,Bull,Bull,Bull,Bull,Bull,Bull,Bull,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,1.4931208656435049,0.2494685213208883,0,0,1,1,1,1,1,0,0,0,-35.105061129666865,7.112660690027042,0.538200847173357
320768,Bull,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,1.4395588319130184,0.9417018172084136,2,1,2,2,2,0,2,1,1,0,178.6231627488305,3.201231374490817,-3.9114293155362247
320769,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,0,0,0,0,0,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,,,,,,,,,,,0.926405180069196,0.6047316866709534,2,0,1,1,2,0,1,0,0,0,-16.636691800464178,1.250584415236517,-1.9506469592542999
