window_center_index,window_center_epoch,window_type,relative_pos,row_index,epoch,truth,base,pred_bear_core_a,trigger_bear_core_a,override_help_class_bear_core_a,ruleb_raw_warning,osc_core_a,osc_core_b,osc_core_c,slow_retention,abs_hinge,transition_score_v23,phase3,fs3,fast_alt,core_count,reason
41,320801,TRIGGER,-2,39,320799,Bear,Neutral,Neutral,0,NO_EFFECT,0,1,1,0,0.7585913377897668,1.0,2,2,3,0,2,trigger|base=Neutral|truth=Bear|slow=0.7586|abs_hinge=1.0000|transition=2|phase3=2|fs3=3|fast_alt=0|core_count=2|oscA|oscB
41,320801,TRIGGER,-1,40,320800,Bear,Neutral,Neutral,0,NO_EFFECT,0,1,1,0,0.2438105953806371,0.862768870447019,2,2,3,0,2,trigger|base=Neutral|truth=Bear|slow=0.2438|abs_hinge=0.8628|transition=2|phase3=2|fs3=3|fast_alt=0|core_count=2|oscA|oscB
41,320801,TRIGGER,0,41,320801,Bull,Bear,Neutral,1,GOOD_NEUTRALIZE_WRONG_BASE,1,1,1,0,1.1462925282048673,0.182722298996748,1,2,2,0,2,trigger|base=Bear|truth=Bull|slow=1.1463|abs_hinge=0.1827|transition=1|phase3=2|fs3=2|fast_alt=0|core_count=2|oscA|oscB
41,320801,TRIGGER,1,42,320802,Bear,Bear,Bear,0,NO_EFFECT,0,0,0,0,0.3086612595507176,0.3312895733062742,1,1,1,0,0,trigger|base=Bear|truth=Bear|slow=0.3087|abs_hinge=0.3313|transition=1|phase3=1|fs3=1|fast_alt=0|core_count=0
41,320801,TRIGGER,2,43,320803,Bear,Neutral,Neutral,0,NO_EFFECT,0,0,0,0,0.2800415394885931,0.3415149868596454,0,0,1,0,0,trigger|base=Neutral|truth=Bear|slow=0.2800|abs_hinge=0.3415|transition=0|phase3=0|fs3=1|fast_alt=0|core_count=0
189,320956,TRIGGER,-2,187,320954,Bull,Neutral,Neutral,0,NO_EFFECT,0,1,0,1,0.7938380862706254,1.0,2,1,2,1,2,trigger|base=Neutral|truth=Bull|slow=0.7938|abs_hinge=1.0000|transition=2|phase3=1|fs3=2|fast_alt=1|core_count=2|oscA|oscC
189,320956,TRIGGER,-1,188,320955,Bull,Neutral,Neutral,0,NO_EFFECT,0,1,1,1,0.414213755280798,1.0,2,2,3,1,3,trigger|base=Neutral|truth=Bull|slow=0.4142|abs_hinge=1.0000|transition=2|phase3=2|fs3=3|fast_alt=1|core_count=3|oscA|oscB|oscC
189,320956,TRIGGER,0,189,320956,Bull,Bear,Neutral,1,GOOD_NEUTRALIZE_WRONG_BASE,1,1,1,1,1.5191107462997024,0.2512385890129943,1,2,2,1,3,trigger|base=Bear|truth=Bull|slow=1.5191|abs_hinge=0.2512|transition=1|phase3=2|fs3=2|fast_alt=1|core_count=3|oscA|oscB|oscC
189,320956,TRIGGER,1,190,320964,Bull,Neutral,Neutral,0,NO_EFFECT,0,0,0,0,1.7961266766124029,0.3898995363757055,0,1,2,0,1,trigger|base=Neutral|truth=Bull|slow=1.7961|abs_hinge=0.3899|transition=0|phase3=1|fs3=2|fast_alt=0|core_count=1
189,320956,TRIGGER,2,191,320965,Bull,Neutral,Neutral,0,NO_EFFECT,0,0,0,0,0.4248674811733508,0.0408085135812269,1,1,2,0,1,trigger|base=Neutral|truth=Bull|slow=0.4249|abs_hinge=0.0408|transition=1|phase3=1|fs3=2|fast_alt=0|core_count=1
457,321234,TRIGGER,-2,455,321233,Bull,Neutral,Neutral,0,NO_EFFECT,0,0,0,0,0.6512142529663834,0.233388982113892,0,0,1,0,0,trigger|base=Neutral|truth=Bull|slow=0.6512|abs_hinge=0.2334|transition=0|phase3=0|fs3=1|fast_alt=0|core_count=0
