chunk_id,row_start,row_end_exclusive,model,triggers,rows,directional_called,neutral_called,directional_accuracy,directional_coverage,neutral_rate,bull_precision,bear_precision,bull_recall,bear_recall
1,0,234,base,0,234,89,145,0.6067415730337079,0.3803418803418803,0.6196581196581197,0.5833333333333334,0.6226415094339622,0.1826086956521739,0.2773109243697479
1,0,234,bear_pm1_soft,2,234,87,147,0.6206896551724138,0.3717948717948718,0.6282051282051282,0.5833333333333334,0.6470588235294118,0.1826086956521739,0.2773109243697479
1,0,234,bear_pm1_h018,4,234,85,149,0.6235294117647059,0.36324786324786323,0.6367521367521367,0.5833333333333334,0.6530612244897959,0.1826086956521739,0.2689075630252101
2,234,468,base,0,234,97,137,0.5360824742268041,0.41452991452991456,0.5854700854700855,0.625,0.47368421052631576,0.21008403361344538,0.23684210526315788
2,234,468,bear_pm1_soft,2,234,95,139,0.5368421052631579,0.405982905982906,0.594017094017094,0.625,0.4727272727272727,0.21008403361344538,0.22807017543859648
2,234,468,bear_pm1_h018,2,234,95,139,0.5368421052631579,0.405982905982906,0.594017094017094,0.625,0.4727272727272727,0.21008403361344538,0.22807017543859648
3,468,702,base,0,234,93,141,0.5376344086021505,0.3974358974358974,0.6025641025641025,0.5609756097560976,0.5192307692307693,0.18699186991869918,0.24545454545454545
3,468,702,bear_pm1_soft,2,234,91,143,0.5494505494505495,0.3888888888888889,0.6111111111111112,0.5609756097560976,0.54,0.18699186991869918,0.24545454545454545
3,468,702,bear_pm1_h018,2,234,91,143,0.5494505494505495,0.3888888888888889,0.6111111111111112,0.5609756097560976,0.54,0.18699186991869918,0.24545454545454545
4,702,936,base,0,234,72,162,0.5416666666666666,0.3076923076923077,0.6923076923076923,0.525,0.5625,0.20192307692307693,0.13846153846153847
4,702,936,bear_pm1_soft,0,234,72,162,0.5416666666666666,0.3076923076923077,0.6923076923076923,0.525,0.5625,0.20192307692307693,0.13846153846153847
4,702,936,bear_pm1_h018,0,234,72,162,0.5416666666666666,0.3076923076923077,0.6923076923076923,0.525,0.5625,0.20192307692307693,0.13846153846153847
