group,row_index,epoch,base,truth,winner_trigger,fallback_trigger,slow_retention,abs_hinge,transition_score_v23,phase3,fs3,fast_alt
both,189,320956,Bear,Bull,1,1,1.5191107462997024,0.2512385890129943,1,2,2,1
both,211,320992,Bear,Bull,1,1,1.9226985563527703,0.4853152036239559,1,1,1,0
both,451,321230,Bear,Bear,1,1,2.167359932764157,0.3744731433445593,1,1,1,0
both,457,321234,Bear,Bull,1,1,1.831069725421912,0.793730193545626,2,0,2,1
both,546,321341,Bear,Bull,1,1,1.97990277538338,0.2125949170883987,1,2,1,0
both,685,321499,Bear,Bull,1,1,1.7431309231815248,0.2227466203609453,1,1,1,0
winner_only,41,320801,Bear,Bull,1,0,1.1462925282048673,0.182722298996748,1,2,2,0
winner_only,106,320865,Bear,Bear,1,0,1.1927106035764157,0.1832001797052062,1,1,1,0
either,41,320801,Bear,Bull,1,0,1.1462925282048673,0.182722298996748,1,2,2,0
either,106,320865,Bear,Bear,1,0,1.1927106035764157,0.1832001797052062,1,1,1,0
either,189,320956,Bear,Bull,1,1,1.5191107462997024,0.2512385890129943,1,2,2,1
either,211,320992,Bear,Bull,1,1,1.9226985563527703,0.4853152036239559,1,1,1,0
either,451,321230,Bear,Bear,1,1,2.167359932764157,0.3744731433445593,1,1,1,0
either,457,321234,Bear,Bull,1,1,1.831069725421912,0.793730193545626,2,0,2,1
either,546,321341,Bear,Bull,1,1,1.97990277538338,0.2125949170883987,1,2,1,0
either,685,321499,Bear,Bull,1,1,1.7431309231815248,0.2227466203609453,1,1,1,0
