window_type,center_index,center_epoch,rel,epoch,truth,base,pred,adaptive_policy,trig,ruleb,pm1,soft,h018,phase3,fs3,fast_alt,slow,abs_hinge,transition
ADAPTIVE_TRIGGER,41,320801,-2,320799,Bear,Neutral,Neutral,base,0,0,1,1,1,2,3,0,0.7585913377897668,1.0,2
ADAPTIVE_TRIGGER,41,320801,-1,320800,Bear,Neutral,Neutral,base,0,0,1,1,1,2,3,0,0.2438105953806371,0.862768870447019,2
ADAPTIVE_TRIGGER,41,320801,0,320801,Bull,Bear,Neutral,winner,1,1,1,0,1,2,2,0,1.1462925282048673,0.182722298996748,1
ADAPTIVE_TRIGGER,41,320801,1,320802,Bear,Bear,Bear,base,0,0,1,1,1,1,1,0,0.3086612595507176,0.3312895733062742,1
ADAPTIVE_TRIGGER,41,320801,2,320803,Bear,Neutral,Neutral,base,0,0,0,0,0,0,1,0,0.2800415394885931,0.3415149868596454,0
ADAPTIVE_TRIGGER,106,320865,-2,320863,Bear,Bull,Bull,base,0,0,1,0,0,2,2,0,1.342224031806836,0.1555322791338456,0
ADAPTIVE_TRIGGER,106,320865,-1,320864,Bull,Neutral,Neutral,base,0,0,1,1,1,2,2,0,0.2743740152654936,0.2140040796569322,1
ADAPTIVE_TRIGGER,106,320865,0,320865,Bear,Bear,Neutral,winner,1,1,1,0,1,1,1,0,1.1927106035764157,0.1832001797052062,1
ADAPTIVE_TRIGGER,106,320865,1,320866,Bear,Neutral,Neutral,base,0,1,1,1,1,2,2,0,1.153804595103793,0.6449720846260645,2
ADAPTIVE_TRIGGER,106,320865,2,320867,Bull,Neutral,Neutral,base,0,0,1,1,1,2,2,0,0.4106714439985808,0.3729901654567792,1
ADAPTIVE_TRIGGER,189,320956,-2,320954,Bull,Neutral,Neutral,base,0,0,1,1,1,1,2,1,0.7938380862706254,1.0,2
ADAPTIVE_TRIGGER,189,320956,-1,320955,Bull,Neutral,Neutral,base,0,0,1,1,1,2,3,1,0.414213755280798,1.0,2
ADAPTIVE_TRIGGER,189,320956,0,320956,Bull,Bear,Neutral,corea,1,1,1,1,1,2,2,1,1.5191107462997024,0.2512385890129943,1
ADAPTIVE_TRIGGER,189,320956,1,320964,Bull,Neutral,Neutral,base,0,0,1,1,1,1,2,0,1.7961266766124029,0.3898995363757055,0
ADAPTIVE_TRIGGER,189,320956,2,320965,Bull,Neutral,Neutral,base,0,0,1,0,0,1,2,0,0.4248674811733508,0.0408085135812269,1
ADAPTIVE_TRIGGER,211,320992,-2,320990,Bull,Neutral,Neutral,base,0,0,1,1,1,3,2,0,0.7323275596936583,1.0,2
ADAPTIVE_TRIGGER,211,320992,-1,320991,Bear,Neutral,Neutral,base,0,0,1,1,1,2,2,0,0.0473381414049072,0.8302188078900806,1
ADAPTIVE_TRIGGER,211,320992,0,320992,Bull,Bear,Neutral,winner,1,1,1,1,1,1,1,0,1.9226985563527703,0.4853152036239559,1
ADAPTIVE_TRIGGER,211,320992,1,320993,Bear,Bear,Bear,base,0,0,0,0,0,0,0,0,0.4870581860541279,0.7355525411623458,1
ADAPTIVE_TRIGGER,211,320992,2,320993,Bear,Neutral,Neutral,base,0,1,0,0,0,0,0,0,1.1353941480319918,0.2470703297389247,1
ADAPTIVE_TRIGGER,451,321230,-2,321228,Bull,Bear,Bear,base,0,0,1,0,0,1,1,1,2.9129483335964323,0.0258325522183499,0
ADAPTIVE_TRIGGER,451,321230,-1,321229,Bull,Neutral,Neutral,base,0,0,1,1,1,2,2,1,0.6493649733383791,0.3323932083048969,1
ADAPTIVE_TRIGGER,451,321230,0,321230,Bear,Bear,Neutral,winner,1,1,1,1,1,1,1,0,2.167359932764157,0.3744731433445593,1
ADAPTIVE_TRIGGER,451,321230,1,321231,Bear,Neutral,Neutral,base,0,0,1,0,0,2,2,0,1.1353045328742155,0.1451846358297214,1
ADAPTIVE_TRIGGER,451,321230,2,321232,Bear,Bear,Bear,base,0,0,1,0,0,1,1,0,0.8233322518681234,0.0517661737742932,0
ADAPTIVE_TRIGGER,457,321234,-2,321233,Bull,Neutral,Neutral,base,0,0,1,1,1,0,1,0,0.6512142529663834,0.233388982113892,0
ADAPTIVE_TRIGGER,457,321234,-1,321234,Bull,Neutral,Neutral,base,0,0,1,0,0,0,2,1,2.0394933024490456,0.0652866883672665,1
ADAPTIVE_TRIGGER,457,321234,0,321234,Bull,Bear,Neutral,corea,1,1,1,1,1,0,2,1,1.831069725421912,0.793730193545626,2
ADAPTIVE_TRIGGER,457,321234,1,321235,Bear,Neutral,Neutral,base,0,0,1,0,0,1,2,0,0.8483160173655051,0.1056035878282287,1
ADAPTIVE_TRIGGER,457,321234,2,321236,Bull,Neutral,Neutral,base,0,0,1,1,1,2,2,0,0.4086244959034957,1.0,2
REMAINING_FALSE_NEGATIVE,152,320920,-2,320918,Bull,Bull,Bull,base,0,0,0,0,0,1,0,0,0.9032524854574148,0.3822545388083438,0
REMAINING_FALSE_NEGATIVE,152,320920,-1,320919,Bull,Neutral,Neutral,base,0,0,0,0,0,0,0,0,1.98856993094887,0.2372081586872534,0
REMAINING_FALSE_NEGATIVE,152,320920,0,320920,Bull,Bear,Bear,base,0,1,0,0,0,0,0,0,1.6361203413198382,0.3619156339245184,1
REMAINING_FALSE_NEGATIVE,152,320920,1,320921,Bear,Neutral,Neutral,base,0,0,0,0,0,0,1,1,0.7302693111578265,0.1656388329725051,0
REMAINING_FALSE_NEGATIVE,152,320920,2,320922,Bull,Bear,Bear,base,0,0,1,0,0,0,1,1,0.9821271268119744,0.0481249668050266,1
REMAINING_FALSE_NEGATIVE,219,320997,-2,320995,Bull,Bull,Bull,base,0,0,0,0,0,1,1,1,1.015190276724752,0.2747295435739196,0
REMAINING_FALSE_NEGATIVE,219,320997,-1,320996,Bull,Neutral,Neutral,base,0,0,0,0,0,1,1,0,0.1541129462893877,0.3544321342369236,0
REMAINING_FALSE_NEGATIVE,219,320997,0,320997,Bull,Bear,Bear,base,0,1,0,0,0,0,0,0,1.1129530002544925,0.2932370400084516,1
REMAINING_FALSE_NEGATIVE,219,320997,1,320998,Bear,Neutral,Neutral,base,0,1,1,1,1,1,1,1,1.8529405720510117,0.4168001713846043,1
REMAINING_FALSE_NEGATIVE,219,320997,2,320998,Bear,Neutral,Neutral,base,0,0,1,0,0,2,2,0,0.7697532613055955,0.1021654883899352,1
REMAINING_FALSE_NEGATIVE,397,321170,-2,321167,Bull,Neutral,Neutral,base,0,0,0,0,0,0,0,0,0.3471565745603584,1.0,1
REMAINING_FALSE_NEGATIVE,397,321170,-1,321168,Bear,Bull,Bull,base,0,0,0,0,0,0,0,0,1.975096135738568,0.2772903801904036,0
REMAINING_FALSE_NEGATIVE,397,321170,0,321170,Bull,Bear,Bear,base,0,1,0,0,0,0,0,0,1.9026312620244423,0.1617608164018711,1
REMAINING_FALSE_NEGATIVE,397,321170,1,321171,Bear,Neutral,Neutral,base,0,0,0,0,0,0,0,1,0.2949232746395864,0.1345712505980145,0
REMAINING_FALSE_NEGATIVE,397,321170,2,321172,Bull,Neutral,Neutral,base,0,1,0,0,0,1,1,0,1.0577835626609158,1.0,2
REMAINING_FALSE_NEGATIVE,411,321189,-2,321186,Bear,Bear,Bear,base,0,1,0,0,0,1,2,0,1.994928927382716,0.210832087757578,1
REMAINING_FALSE_NEGATIVE,411,321189,-1,321188,Bull,Neutral,Neutral,base,0,1,0,0,0,1,2,0,1.5152713386487449,0.42196178557606,1
