reason,rows,adaptive_triggers,good,bad,mean_wrong_bear_rate,mean_disagreement_density
regime_aggressive|mode=AGGRESSIVE|current_h018,6,6,4,2,0.4781746031746032,0.8666666666666668
regime_safe|mode=SAFE|current_corea,2,2,2,0,0.2976190476190476,0.8500000000000001
regime_aggressive|base_pred=Neutral,456,0,0,0,0.5155777701830333,0.8758040935672516
regime_aggressive|ruleb_off,133,0,0,0,0.5144370666927058,0.8614035087719298
regime_aggressive|base_pred=Bull,119,0,0,0,0.5062661428207647,0.873949579831933
regime_safe|base_pred=Neutral,28,0,0,0,0.28214285714285714,0.8285714285714286
regime_balanced|base_pred=Neutral,24,0,0,0,0.3416666666666666,0.8666666666666666
warmup_lt_30|base_pred=Neutral,20,0,0,0,0.0,0.0
regime_off_default|base_pred=Neutral,17,0,0,0,0.007352941176470588,0.8411764705882353
regime_aggressive|mode=AGGRESSIVE|no_current_edge,13,0,0,0,0.5583943833943834,0.8538461538461539
persist_AGGRESSIVE|regime_balanced|base_pred=Neutral,12,0,0,0,0.22727272727272732,0.8777777777777779
regime_safe|base_pred=Bull,12,0,0,0,0.27038239538239534,0.8555555555555556
regime_balanced|ruleb_off,10,0,0,0,0.3632936507936508,0.8866666666666667
regime_safe|ruleb_off,10,0,0,0,0.34558441558441555,0.8666666666666666
regime_balanced|base_pred=Bull,9,0,0,0,0.3208994708994709,0.8592592592592594
persist_SAFE|regime_aggressive|base_pred=Neutral,7,0,0,0,0.323747680890538,0.8857142857142858
persist_AGGRESSIVE|regime_safe|base_pred=Neutral,6,0,0,0,0.2063492063492063,0.8333333333333334
warmup_lt_30|ruleb_off,5,0,0,0,0.0,0.0
persist_AGGRESSIVE|regime_off_default|base_pred=Neutral,4,0,0,0,0.03125,0.8583333333333334
persist_BALANCED|regime_aggressive|base_pred=Neutral,4,0,0,0,0.38541666666666663,0.8916666666666667
persist_SAFE|regime_balanced|base_pred=Neutral,4,0,0,0,0.26666666666666666,0.6833333333333333
regime_off_default|base_pred=Bull,4,0,0,0,0.0,0.75
regime_off_default|ruleb_off,4,0,0,0,0.03125,0.7083333333333334
warmup_lt_30|base_pred=Bull,4,0,0,0,0.0,0.0
persist_BALANCED|regime_aggressive|base_pred=Bull,3,0,0,0,0.3333333333333333,0.9333333333333332
persist_AGGRESSIVE|regime_balanced|ruleb_off,2,0,0,0,0.2111111111111111,0.8333333333333334
persist_AGGRESSIVE|regime_off_default|base_pred=Bull,2,0,0,0,0.0625,0.75
persist_BALANCED|regime_safe|base_pred=Neutral,2,0,0,0,0.3333333333333333,0.43333333333333335
regime_safe|mode=SAFE|no_current_edge,2,0,0,0,0.2589285714285714,0.8666666666666667
persist_AGGRESSIVE|regime_balanced|base_pred=Bull,1,0,0,0,0.2,0.9333333333333333
persist_AGGRESSIVE|regime_off_default|ruleb_off,1,0,0,0,0.0,1.0
persist_AGGRESSIVE|regime_safe|base_pred=Bull,1,0,0,0,0.14285714285714285,0.8
persist_AGGRESSIVE|regime_safe|mode=AGGRESSIVE|no_current_edge,1,0,0,0,0.16666666666666666,0.9333333333333333
persist_AGGRESSIVE|regime_safe|ruleb_off,1,0,0,0,0.5,0.7333333333333333
persist_BALANCED|regime_aggressive|mode=BALANCED|no_current_edge,1,0,0,0,0.5,0.9
persist_BALANCED|regime_off_default|base_pred=Bull,1,0,0,0,0.125,0.7666666666666667
persist_BALANCED|regime_off_default|base_pred=Neutral,1,0,0,0,0.1111111111111111,0.7666666666666667
persist_SAFE|regime_aggressive|base_pred=Bull,1,0,0,0,0.2857142857142857,0.9666666666666667
persist_SAFE|regime_aggressive|ruleb_off,1,0,0,0,0.2857142857142857,0.8
persist_SAFE|regime_balanced|mode=SAFE|no_current_edge,1,0,0,0,0.2,0.9
warmup_lt_30|mode=OFF|base,1,0,0,0,0.0,0.0
