lookback,reason,rows,triggers
30,base_pred=Neutral,565,0
30,ruleb_off,162,0
30,base_pred=Bull,153,0
30,warmup_lt_30,30,0
30,meta_not_enough_neighbors,26,0
50,base_pred=Neutral,550,0
50,ruleb_off,160,0
50,base_pred=Bull,151,0
50,warmup_lt_50,50,0
50,meta_not_enough_neighbors,25,0
70,base_pred=Neutral,540,0
70,ruleb_off,154,0
70,base_pred=Bull,147,0
70,warmup_lt_70,70,0
70,meta_not_enough_neighbors,25,0
90,base_pred=Neutral,530,0
90,ruleb_off,149,0
90,base_pred=Bull,142,0
90,warmup_lt_90,90,0
90,meta_not_enough_neighbors,25,0
