epoch,truth,pred_v22_base,pred_bear_raw,pred_bear_core_a,pred_bear_win_prevcurr,pred_bear_win_pm1,pred_bear_win_relaxed,trigger_bear_raw,trigger_bear_core_a,trigger_bear_win_prevcurr,trigger_bear_win_pm1,trigger_bear_win_relaxed,override_help_class_bear_raw,override_help_class_bear_core_a,override_help_class_bear_win_prevcurr,override_help_class_bear_win_pm1,override_help_class_bear_win_relaxed,reason_bear_raw,reason_bear_core_a,reason_bear_win_prevcurr,reason_bear_win_pm1,reason_bear_win_relaxed,slow_retention,hinge_torsion,transition_score_v23,ruleb_raw_warning,ruleb_warn_count_3,phase_disagree_count_3,fs_disagree_count_3,fast_alt_3epoch,osc_core_count,osc_core_a,core_window_prevcurr,core_window_pm1,core_window_relaxed,core_window_score_prevcurr,core_window_score_pm1,fan_width_velocity,fan_energy_total,energy_delta
320766,Bear,Bear,Neutral,Bear,Bear,Bear,Bear,1,0,0,0,0,BAD_NEUTRALIZE_RIGHT_BASE,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,Bear-only RuleB raw|base=Bear|truth=Bear|slow=3.0384|abs_hinge=1.0000|transition=2|phase3=1|fs3=1|fast_alt=0|core_count=0|win_prevcurr=0|win_pm1=0|win_relaxed=0,,,,,3.0384492642879195,1.0,2,1,1,1,1,0,0,0,0,0,0,0,1,-51.772410745266825,6.574459842853685,3.2791429362860076
320801,Bull,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,1,1,1,1,1,GOOD_NEUTRALIZE_WRONG_BASE,GOOD_NEUTRALIZE_WRONG_BASE,GOOD_NEUTRALIZE_WRONG_BASE,GOOD_NEUTRALIZE_WRONG_BASE,GOOD_NEUTRALIZE_WRONG_BASE,Bear-only RuleB raw|base=Bear|truth=Bull|slow=1.1463|abs_hinge=0.1827|transition=1|phase3=2|fs3=2|fast_alt=0|core_count=2|win_prevcurr=1|win_pm1=1|win_relaxed=1,Bear-only RuleB + Core A|base=Bear|truth=Bull|slow=1.1463|abs_hinge=0.1827|transition=1|phase3=2|fs3=2|fast_alt=0|core_count=2|win_prevcurr=1|win_pm1=1|win_relaxed=1,Bear-only RuleB + Window Prev/Curr|base=Bear|truth=Bull|slow=1.1463|abs_hinge=0.1827|transition=1|phase3=2|fs3=2|fast_alt=0|core_count=2|win_prevcurr=1|win_pm1=1|win_relaxed=1,Bear-only RuleB + Window +/-1|base=Bear|truth=Bull|slow=1.1463|abs_hinge=0.1827|transition=1|phase3=2|fs3=2|fast_alt=0|core_count=2|win_prevcurr=1|win_pm1=1|win_relaxed=1,Bear-only RuleB + Window Relaxed|base=Bear|truth=Bull|slow=1.1463|abs_hinge=0.1827|transition=1|phase3=2|fs3=2|fast_alt=0|core_count=2|win_prevcurr=1|win_pm1=1|win_relaxed=1,1.1462925282048673,0.182722298996748,1,1,1,2,2,0,2,1,1,1,1,2,2,72.12525531474967,3.038645795704724,2.471156344139672
320865,Bear,Bear,Neutral,Bear,Neutral,Neutral,Neutral,1,0,1,1,1,BAD_NEUTRALIZE_RIGHT_BASE,NO_EFFECT,BAD_NEUTRALIZE_RIGHT_BASE,BAD_NEUTRALIZE_RIGHT_BASE,BAD_NEUTRALIZE_RIGHT_BASE,Bear-only RuleB raw|base=Bear|truth=Bear|slow=1.1927|abs_hinge=0.1832|transition=1|phase3=1|fs3=1|fast_alt=0|core_count=0|win_prevcurr=1|win_pm1=1|win_relaxed=1,,Bear-only RuleB + Window Prev/Curr|base=Bear|truth=Bear|slow=1.1927|abs_hinge=0.1832|transition=1|phase3=1|fs3=1|fast_alt=0|core_count=0|win_prevcurr=1|win_pm1=1|win_relaxed=1,Bear-only RuleB + Window +/-1|base=Bear|truth=Bear|slow=1.1927|abs_hinge=0.1832|transition=1|phase3=1|fs3=1|fast_alt=0|core_count=0|win_prevcurr=1|win_pm1=1|win_relaxed=1,Bear-only RuleB + Window Relaxed|base=Bear|truth=Bear|slow=1.1927|abs_hinge=0.1832|transition=1|phase3=1|fs3=1|fast_alt=0|core_count=0|win_prevcurr=1|win_pm1=1|win_relaxed=1,1.1927106035764157,0.1832001797052062,1,1,1,1,1,0,0,0,1,1,1,2,2,63.725020629979554,3.5134396478424605,2.1426155653953174
320902,Bear,Bear,Neutral,Bear,Bear,Bear,Bear,1,0,0,0,0,BAD_NEUTRALIZE_RIGHT_BASE,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,Bear-only RuleB raw|base=Bear|truth=Bear|slow=1.8662|abs_hinge=0.1570|transition=1|phase3=2|fs3=1|fast_alt=0|core_count=1|win_prevcurr=0|win_pm1=0|win_relaxed=0,,,,,1.86619078804506,0.1569945245461283,1,1,3,2,1,0,1,0,0,0,0,1,1,178.61114851028833,8.384646993385104,3.896687247977752
320920,Bull,Bear,Neutral,Bear,Bear,Bear,Bear,1,0,0,0,0,GOOD_NEUTRALIZE_WRONG_BASE,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,Bear-only RuleB raw|base=Bear|truth=Bull|slow=1.6361|abs_hinge=0.3619|transition=1|phase3=0|fs3=0|fast_alt=0|core_count=0|win_prevcurr=0|win_pm1=0|win_relaxed=0,,,,,1.6361203413198382,0.3619156339245184,1,1,1,0,0,0,0,0,0,0,0,0,1,286.4382001947524,6.407420658448245,0.9907578448419372
320951,Bear,Bear,Neutral,Bear,Bear,Bear,Bear,1,0,0,0,0,BAD_NEUTRALIZE_RIGHT_BASE,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,Bear-only RuleB raw|base=Bear|truth=Bear|slow=1.7769|abs_hinge=0.3278|transition=1|phase3=1|fs3=0|fast_alt=0|core_count=0|win_prevcurr=0|win_pm1=0|win_relaxed=0,,,,,1.776919004254523,0.3277757102890766,1,1,1,1,0,0,0,0,0,0,0,2,2,220.00379769982828,11.121227975350848,10.241200956490502
320952,Bear,Bear,Neutral,Bear,Bear,Bear,Bear,1,0,0,0,0,BAD_NEUTRALIZE_RIGHT_BASE,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,Bear-only RuleB raw|base=Bear|truth=Bear|slow=2.3925|abs_hinge=0.2937|transition=1|phase3=1|fs3=0|fast_alt=0|core_count=0|win_prevcurr=0|win_pm1=0|win_relaxed=0,,,,,2.3925164162956207,0.2937342743853561,1,1,2,1,0,0,0,0,0,0,0,0,0,-13.232593271604856,8.156371310878967,-2.9648566644718812
320956,Bull,Bear,Neutral,Neutral,Neutral,Neutral,Neutral,1,1,1,1,1,GOOD_NEUTRALIZE_WRONG_BASE,GOOD_NEUTRALIZE_WRONG_BASE,GOOD_NEUTRALIZE_WRONG_BASE,GOOD_NEUTRALIZE_WRONG_BASE,GOOD_NEUTRALIZE_WRONG_BASE,Bear-only RuleB raw|base=Bear|truth=Bull|slow=1.5191|abs_hinge=0.2512|transition=1|phase3=2|fs3=2|fast_alt=1|core_count=3|win_prevcurr=1|win_pm1=1|win_relaxed=1,Bear-only RuleB + Core A|base=Bear|truth=Bull|slow=1.5191|abs_hinge=0.2512|transition=1|phase3=2|fs3=2|fast_alt=1|core_count=3|win_prevcurr=1|win_pm1=1|win_relaxed=1,Bear-only RuleB + Window Prev/Curr|base=Bear|truth=Bull|slow=1.5191|abs_hinge=0.2512|transition=1|phase3=2|fs3=2|fast_alt=1|core_count=3|win_prevcurr=1|win_pm1=1|win_relaxed=1,Bear-only RuleB + Window +/-1|base=Bear|truth=Bull|slow=1.5191|abs_hinge=0.2512|transition=1|phase3=2|fs3=2|fast_alt=1|core_count=3|win_prevcurr=1|win_pm1=1|win_relaxed=1,Bear-only RuleB + Window Relaxed|base=Bear|truth=Bull|slow=1.5191|abs_hinge=0.2512|transition=1|phase3=2|fs3=2|fast_alt=1|core_count=3|win_prevcurr=1|win_pm1=1|win_relaxed=1,1.5191107462997024,0.2512385890129943,1,1,1,2,2,1,3,1,1,1,1,3,3,112.56675571174128,5.351332768341308,3.031156655119048
320992,Bull,Bear,Neutral,Bear,Neutral,Neutral,Neutral,1,0,1,1,1,GOOD_NEUTRALIZE_WRONG_BASE,NO_EFFECT,GOOD_NEUTRALIZE_WRONG_BASE,GOOD_NEUTRALIZE_WRONG_BASE,GOOD_NEUTRALIZE_WRONG_BASE,Bear-only RuleB raw|base=Bear|truth=Bull|slow=1.9227|abs_hinge=0.4853|transition=1|phase3=1|fs3=1|fast_alt=0|core_count=0|win_prevcurr=1|win_pm1=1|win_relaxed=1,,Bear-only RuleB + Window Prev/Curr|base=Bear|truth=Bull|slow=1.9227|abs_hinge=0.4853|transition=1|phase3=1|fs3=1|fast_alt=0|core_count=0|win_prevcurr=1|win_pm1=1|win_relaxed=1,Bear-only RuleB + Window +/-1|base=Bear|truth=Bull|slow=1.9227|abs_hinge=0.4853|transition=1|phase3=1|fs3=1|fast_alt=0|core_count=0|win_prevcurr=1|win_pm1=1|win_relaxed=1,Bear-only RuleB + Window Relaxed|base=Bear|truth=Bull|slow=1.9227|abs_hinge=0.4853|transition=1|phase3=1|fs3=1|fast_alt=0|core_count=0|win_prevcurr=1|win_pm1=1|win_relaxed=1,1.9226985563527703,0.4853152036239559,1,1,1,1,1,0,0,0,1,1,1,2,2,93.52960981606157,3.704635541425887,2.772527430055561
320997,Bull,Bear,Neutral,Bear,Bear,Bear,Bear,1,0,0,0,0,GOOD_NEUTRALIZE_WRONG_BASE,NO_EFFECT,NO_EFFECT,NO_EFFECT,NO_EFFECT,Bear-only RuleB raw|base=Bear|truth=Bull|slow=1.1130|abs_hinge=0.2932|transition=1|phase3=0|fs3=0|fast_alt=0|core_count=0|win_prevcurr=0|win_pm1=0|win_relaxed=0,,,,,1.1129530002544925,0.2932370400084516,1,1,1,0,0,0,0,0,0,0,0,0,1,103.2797543821216,5.54362598957232,4.076694605884768
