section,metric,value
overall,rows_total,19011.0
overall,wager_true,421.0
overall,bull_rows,378.0
overall,bear_rows,43.0
overall,skip_rows,18590.0
overall,avg_bull_score,0.020427413411938097
overall,avg_bear_score,0.002244534512404814
overall,usable_segment_rows,16284.0
overall,usable_segment_pct,85.65567303140287
by_pred,Bull_count,378.0
by_pred,Bull_right,186.0
by_pred,Bull_wrong,192.0
by_pred,Bull_accuracy,0.49206349206349204
by_pred,Bear_count,43.0
by_pred,Bear_right,23.0
by_pred,Bear_wrong,20.0
by_pred,Bear_accuracy,0.5348837209302325
by_pred,Skip_count,18590.0
by_pred,Skip_count,18590.0
template_counts,segment_skip,15863.0
template_counts,segment_invalid,2159.0
template_counts,segment_too_short,568.0
template_counts,segment_bull_continuation,378.0
template_counts,segment_bear_continuation,43.0
skip_bull_core_fails,"anchor_not_valley,segment_not_up,seg_slope_not_pos,tail_slope_not_pos,tail_fan_inversion_high,fan_violation_now_high",8209.0
skip_bull_core_fails,"tail_fan_inversion_high,fan_violation_now_high",4661.0
skip_bull_core_fails,none,2727.0
skip_bull_core_fails,tail_fan_inversion_high,2158.0
skip_bull_core_fails,"anchor_not_valley,segment_not_up,seg_slope_not_pos,tail_slope_not_pos,tail_fan_inversion_high",795.0
skip_bull_core_fails,"anchor_not_valley,segment_not_up,seg_slope_not_pos,tail_slope_not_pos,tail_r2_low,tail_fan_inversion_high,fan_violation_now_high",10.0
skip_bull_core_fails,"tail_r2_low,tail_fan_inversion_high,fan_violation_now_high",8.0
skip_bull_core_fails,"tail_slope_not_pos,tail_fan_inversion_high,fan_violation_now_high",4.0
skip_bull_core_fails,"tail_slope_not_pos,tail_r2_low,tail_fan_inversion_high,fan_violation_now_high",3.0
skip_bull_core_fails,"anchor_not_valley,segment_not_up,seg_slope_not_pos,tail_slope_not_pos,tail_r2_low,tail_fan_inversion_high",3.0
skip_bull_core_fails,"tail_r2_low,tail_fan_inversion_high",2.0
skip_bull_core_fails,"segment_not_up,tail_slope_not_pos,tail_fan_inversion_high,fan_violation_now_high",2.0
skip_bull_core_fails,"segment_not_up,tail_slope_not_pos,tail_r2_low,tail_fan_inversion_high,fan_violation_now_high",1.0
skip_bull_core_fails,"tail_slope_not_pos,tail_fan_inversion_high",1.0
