section,metric,value
overall,rows_total,18747.0
overall,wager_true,2353.0
overall,bull_rows,923.0
overall,bear_rows,1430.0
overall,skip_rows,16394.0
overall,avg_bull_score,0.4227311036432496
overall,avg_bear_score,0.4695823331733077
by_pred_trend,Bull_count,923.0
by_pred_trend,Bull_avg_bull_score,0.7599999999999999
by_pred_trend,Bull_avg_bear_score,0.2
by_pred_trend,Bull_avg_bull_pass,6.0
by_pred_trend,Bull_avg_bear_pass,
by_pred_trend,Bear_count,1430.0
by_pred_trend,Bear_avg_bull_score,0.19999999999999996
by_pred_trend,Bear_avg_bear_score,0.76
by_pred_trend,Bear_avg_bull_pass,
by_pred_trend,Bear_avg_bear_pass,6.0
by_pred_trend,Skip_count,16394.0
by_pred_trend,Skip_avg_bull_score,0.4231706721971454
by_pred_trend,Skip_avg_bear_score,0.45942783945345855
by_pred_trend,Skip_avg_bull_pass,3.596437721117482
by_pred_trend,Skip_avg_bear_pass,3.802366719531536
template_counts,none,16394.0
template_counts,continuation_bear,1430.0
template_counts,continuation_bull,923.0
skip_templates,none,16394.0
skip_pass_patterns,bull_pass=3.0|bear_pass=5.0,3760.0
skip_pass_patterns,bull_pass=4.0|bear_pass=4.0,3509.0
skip_pass_patterns,bull_pass=5.0|bear_pass=3.0,2538.0
skip_pass_patterns,bull_pass=3.0|bear_pass=4.0,1711.0
skip_pass_patterns,bull_pass=4.0|bear_pass=3.0,1566.0
skip_pass_patterns,bull_pass=3.0|bear_pass=3.0,569.0
skip_pass_patterns,bull_pass=2.0|bear_pass=4.0,506.0
skip_pass_patterns,bull_pass=4.0|bear_pass=2.0,435.0
skip_pass_patterns,bull_pass=2.0|bear_pass=5.0,384.0
skip_pass_patterns,bull_pass=5.0|bear_pass=2.0,359.0
skip_pass_patterns,bull_pass=2.0|bear_pass=3.0,293.0
skip_pass_patterns,bull_pass=3.0|bear_pass=2.0,249.0
skip_pass_patterns,bull_pass=1.0|bear_pass=5.0,229.0
skip_pass_patterns,bull_pass=5.0|bear_pass=1.0,126.0
skip_pass_patterns,bull_pass=1.0|bear_pass=4.0,99.0
skip_pass_patterns,bull_pass=4.0|bear_pass=1.0,61.0
branch_balance,bull_to_bear_ratio,0.6454545454545455
